initial_ave_cor,initial_ave_fit,initial_gen,initial_pop,initial_sd_cor,initial_sd_fit,final_ave_cor,final_ave_fit,final_gen,final_pop,final_sd_cor,final_sd_fit,p_reproduce, p_selection, n_offspring, truncate, distribution, fitness_correlation, correlation_correlation
0.7017672849123004,0.4525959302825754,0,5000,0.11572714380276454,0.25607725062808323,0.5630372488384278,0.8422477678142978,6,48788,0.3897962688061902,0.2570025751383051,-1,-1,-1,-1,-1,-1,-1
0.6998457480771162,0.4452214096013022,0,5000,0.11524173389045195,0.2590614677939428,0.5557806703381487,0.8430716185595823,6,48780,0.39050223070192447,0.2567808392379578,-1,-1,-1,-1,-1,-1,-1
0.697696345352511,0.44903187592909516,0,5000,0.11552970655622886,0.26301257389058436,0.5560594236770123,0.8442900496762201,6,47374,0.3905239042983305,0.2559088387884967,-1,-1,-1,-1,-1,-1,-1
0.6995648250849449,0.4533174321816284,0,5000,0.11549477090027269,0.26027393228171924,0.5557870261655149,0.844037101500902,6,48862,0.39087435984234337,0.2553208421356757,-1,-1,-1,-1,-1,-1,-1
0.6978331599851708,0.446750478684525,0,5000,0.1159080401409151,0.26098766148260555,0.5716495202828997,0.8404468769138452,5,29861,0.383336045720309,0.25575302659554866,-1,-1,-1,-1,-1,-1,-1
0.7005486243152877,0.4515851502125867,0,5000,0.11523789022767324,0.2577582383269693,0.5602571594295751,0.8440868051059697,6,49709,0.39064282507505027,0.25698192087834415,-1,-1,-1,-1,-1,-1,-1
0.6987738241744176,0.4521359450050723,0,5000,0.11498137723435665,0.25898340406878545,0.5541185688816799,0.8439418591896303,6,49192,0.3911235188617922,0.25563176840530516,-1,-1,-1,-1,-1,-1,-1
0.6999159999922732,0.45047414056205354,0,5000,0.11628846490735431,0.2596476420178831,0.5593780249457395,0.8436855790008465,6,49011,0.3910660577038553,0.2571297961703487,-1,-1,-1,-1,-1,-1,-1
0.6994711073391804,0.4473241672443095,0,5000,0.11457997750013828,0.26062964401498817,0.5508885974210171,0.838797141856987,6,46970,0.3902048595436349,0.26054827909700246,-1,-1,-1,-1,-1,-1,-1
0.7000897186265308,0.4486865172827946,0,5000,0.11476784694456361,0.2623492835892422,0.5573290915357879,0.8424164332801759,6,47729,0.38858253942706417,0.2588531199232489,-1,-1,-1,-1,-1,-1,-1
0.6964676876491479,0.45327173243501373,0,5000,0.11613242652086501,0.25880451945113514,0.7352251013074769,0.7127713400758273,4,46294,0.2877250414121327,0.31102466881340013,1,-1,-1,-1,1,-1,1
0.700125760324417,0.4456414205086553,0,5000,0.11773985737510283,0.261279901406408,0.7368739319296832,0.7102493959721069,4,46148,0.28609880182366126,0.3118631707504188,1,-1,-1,-1,1,-1,1
0.6981498259663574,0.45476924925482354,0,5000,0.11523218875199603,0.2595580143412531,0.7386064609509996,0.714239966077697,4,47038,0.2846281353623441,0.3117440373621426,1,-1,-1,-1,1,-1,1
0.6989315872241796,0.4484971985672284,0,5000,0.11545923003049383,0.260325654461619,0.7342853415408935,0.7080961329313115,4,47598,0.2886604340899876,0.3142050050938979,1,-1,-1,-1,1,-1,1
0.7002119711995651,0.44410961375577074,0,5000,0.11447194424580025,0.2599841647433291,0.7388884610775756,0.7145714299744726,4,45211,0.2838643776452371,0.31288472838940323,1,-1,-1,-1,1,-1,1
0.7009646896217623,0.4412014288370142,0,5000,0.11579506105051875,0.25938335047156597,0.7358268763262431,0.7107141678416288,4,45128,0.28561880633609726,0.31399794318886726,1,-1,-1,-1,1,-1,1
0.6982552147640079,0.4539486129770552,0,5000,0.11332153086919053,0.25592046940266183,0.7325109669254284,0.7184803708134236,4,46514,0.2862357196096867,0.3102485974476338,1,-1,-1,-1,1,-1,1
0.698321803943273,0.4453303297991124,0,5000,0.11545369362925272,0.2586883626418517,0.7391466149231944,0.7123785529528911,4,45460,0.28360382868443684,0.31242159989689616,1,-1,-1,-1,1,-1,1
0.699708482140474,0.4488537813707415,0,5000,0.11490870350044284,0.25596106002630997,0.7302163533522973,0.7120357152768078,4,45095,0.28772679881661367,0.3126764059782704,1,-1,-1,-1,1,-1,1
0.7001861362650644,0.45390618325208315,0,5000,0.11504185444602058,0.2582101736882285,0.7402098890845205,0.7115237747401311,4,46203,0.2834919688399882,0.3136636551392479,1,-1,-1,-1,1,-1,1
0.7015593836913051,0.43905955915385503,0,5000,0.11610873199046631,0.2593619342988315,0.6353408273362674,0.6458757429571388,4,40954,0.3103120126080493,0.2810611491426887,-1,1,-1,-1,1,1,-1
0.7020399474494586,0.45088442797678346,0,5000,0.11506894430181262,0.2568386226117336,0.6338813600034285,0.6565557241352621,4,43201,0.31141154468943216,0.28074592265741705,-1,1,-1,-1,1,1,-1
0.6994539749799946,0.44563649969724556,0,5000,0.11464962287766797,0.25863903223357,0.637764475247712,0.6462826469825886,4,42021,0.30956340348219064,0.27918022448888924,-1,1,-1,-1,1,1,-1
0.7034013176468215,0.4520387110790484,0,5000,0.11604742090797046,0.25850647107865493,0.6352758908804444,0.6545698386723573,4,42553,0.3116979643101144,0.28114888868734855,-1,1,-1,-1,1,1,-1
0.6986469243484877,0.45232442086121766,0,5000,0.11494631780246627,0.25759804486413823,0.6398347298133806,0.6460680830814808,4,42360,0.30742445442856503,0.28046006055773187,-1,1,-1,-1,1,1,-1
0.6981155770245437,0.4517514522093529,0,5000,0.1161628314140781,0.2584725010835946,0.6348095512609303,0.6539222503293413,4,42772,0.3107151157593719,0.28057247753341774,-1,1,-1,-1,1,1,-1
