Experiment, Repeat, Partition Start, Partition End, Bond Energies, Energy, Product Strategy, Reactant Strategy, Number of cycles, Length of longest cycle, Count of most common cycle
strategies-8,0,9750,10000,+1,+1,-1,+1,80,7,459
strategies-8,0,14750,15000,+1,+1,-1,+1,47,7,270
strategies-8,0,19750,20000,+1,+1,-1,+1,60,7,134
strategies-8,1,4750,5000,+1,+1,-1,+1,71,7,252
strategies-8,1,9750,10000,+1,+1,-1,+1,17,6,25
strategies-8,1,14750,15000,+1,+1,-1,+1,24,6,9
strategies-8,1,19750,20000,+1,+1,-1,+1,16,6,6
strategies-8,2,4750,5000,+1,+1,-1,+1,508,14,112
strategies-8,2,9750,10000,+1,+1,-1,+1,37,8,17
strategies-8,2,14750,15000,+1,+1,-1,+1,30,6,11
strategies-8,2,19750,20000,+1,+1,-1,+1,11,5,26
strategies-9,0,4750,5000,-1,-1,+1,-1,1,4,2
strategies-9,0,9750,10000,-1,-1,+1,-1,0,0,0
strategies-9,0,14750,15000,-1,-1,+1,-1,1,3,6
strategies-9,0,19750,20000,-1,-1,+1,-1,0,0,0
strategies-9,1,4750,5000,-1,-1,+1,-1,0,0,0
strategies-9,1,9750,10000,-1,-1,+1,-1,2,3,2
strategies-9,1,14750,15000,-1,-1,+1,-1,1,5,2
strategies-9,1,19750,20000,-1,-1,+1,-1,1,4,2
strategies-9,2,4750,5000,-1,-1,+1,-1,0,0,0
strategies-9,2,9750,10000,-1,-1,+1,-1,0,0,0
strategies-9,2,14750,15000,-1,-1,+1,-1,1,4,2
strategies-9,2,19750,20000,-1,-1,+1,-1,0,0,0
strategies-10,0,4750,5000,-1,+1,+1,-1,0,0,0
strategies-10,0,9750,10000,-1,+1,+1,-1,0,0,0
strategies-10,0,14750,15000,-1,+1,+1,-1,0,0,0
strategies-10,0,19750,20000,-1,+1,+1,-1,0,0,0
strategies-10,1,4750,5000,-1,+1,+1,-1,2,3,2
strategies-10,1,9750,10000,-1,+1,+1,-1,0,0,0
strategies-10,1,14750,15000,-1,+1,+1,-1,1,3,2
strategies-10,1,19750,20000,-1,+1,+1,-1,0,0,0
strategies-10,2,4750,5000,-1,+1,+1,-1,0,0,0
strategies-10,2,9750,10000,-1,+1,+1,-1,1,3,2
strategies-10,2,14750,15000,-1,+1,+1,-1,1,3,2
