initial_ave_cor,initial_ave_fit,initial_gen,initial_pop,initial_sd_cor,initial_sd_fit,final_ave_cor,final_ave_fit,final_gen,final_pop,final_sd_cor,final_sd_fit,p_reproduce, p_selection, n_offspring, truncate, distribution, fitness_correlation, correlation_correlation
0.14793360894456598,0.1507837031787612,0,5000,0.08718659578244262,0.0863986490930006,0.44812445834003134,0.8538363180547873,10,31904,0.3954220316163481,0.2513119059695748,-1,-1,-1,-1,-1,-1,-1
0.15022088032855294,0.1477998179687987,0,5000,0.08684620484071381,0.08743600153720353,0.4577126184613746,0.849824890176973,10,32745,0.39946496136865556,0.2559126179030856,-1,-1,-1,-1,-1,-1,-1
0.14867726661157413,0.14931409341537621,0,5000,0.08648135922188498,0.08744208544827063,0.4464283016492142,0.8512616673348874,10,41053,0.3961503543537969,0.2547074336453263,-1,-1,-1,-1,-1,-1,-1
0.15030679740428685,0.14956114727623673,0,5000,0.08657425213207136,0.08641598672262679,0.45595197482014865,0.8511057621353334,10,30995,0.3977708142485824,0.25356054192257704,-1,-1,-1,-1,-1,-1,-1
0.14862054218596654,0.14891386087482023,0,5000,0.08650574847272849,0.08657468704659536,0.4576067606870716,0.8532688964916871,10,39419,0.3978174363378919,0.2531699319430207,-1,-1,-1,-1,-1,-1,-1
0.14967385865438992,0.14989604335250328,0,5000,0.08625751419518096,0.08680454722357739,0.4553972115974135,0.8511803119686265,10,35212,0.39847205611796793,0.25375339167674515,-1,-1,-1,-1,-1,-1,-1
0.1508455676211647,0.14956151153633293,0,5000,0.08634053568005468,0.0860326339938591,0.45410163802052994,0.8525854401766811,10,39128,0.3998615410173239,0.2527088200624601,-1,-1,-1,-1,-1,-1,-1
0.14907137576101095,0.14989045308443139,0,5000,0.08689309334791126,0.08712073114168839,0.467290224792405,0.850602867598209,10,38429,0.3988998800022403,0.25448401973478946,-1,-1,-1,-1,-1,-1,-1
0.14720702801256824,0.1507650829781936,0,5000,0.08688159054754695,0.08558209718192186,0.472102604542928,0.850419445655509,10,33556,0.3996795782736188,0.2561838282950091,-1,-1,-1,-1,-1,-1,-1
0.15150597111786085,0.15085355101741335,0,5000,0.08608467638610426,0.08587452162405378,0.45534466681476693,0.8523291523173646,10,36104,0.39853993120013087,0.25291465330163837,-1,-1,-1,-1,-1,-1,-1
0.15152363357053267,0.1513509997080273,0,5000,0.08695150550382776,0.0866772553292791,0.6004722964521364,0.656730843610767,5,31528,0.3707630663833315,0.3360235518948299,1,-1,-1,-1,1,-1,1
0.14895493931797874,0.1494554705223056,0,5000,0.08746237113600552,0.08616213994145745,0.5986895232596576,0.653632363841231,5,30596,0.3688870161804214,0.33595078686754415,1,-1,-1,-1,1,-1,1
0.15034025021249736,0.15090433126508268,0,5000,0.08631644189526938,0.08670518769248306,0.5976946317516515,0.6533854404076241,5,31863,0.37151586355917654,0.33646747729203597,1,-1,-1,-1,1,-1,1
0.1496219577334351,0.14928863213509128,0,5000,0.08719121549838994,0.0859978408401897,0.6020559469651083,0.6597116496798348,5,31569,0.3706350378782177,0.33497351240442136,1,-1,-1,-1,1,-1,1
0.15058481201407448,0.14824265259210417,0,5000,0.08633087749338947,0.08689265873695601,0.592042869752822,0.6597281564874761,5,31406,0.3725002992679305,0.33674976931246936,1,-1,-1,-1,1,-1,1
0.1509398647439528,0.1496511296856694,0,5000,0.08735880076934892,0.08608836476174847,0.6024839837747424,0.654014079480965,5,31623,0.36841288039642367,0.3384883415539153,1,-1,-1,-1,1,-1,1
0.150746742535872,0.14971426456029313,0,5000,0.08581841820594761,0.08797279843822627,0.6003613387533367,0.6585462518754934,5,33035,0.3687765717467774,0.3363105261652724,1,-1,-1,-1,1,-1,1
0.14973842832790127,0.1480282885131322,0,5000,0.08595803761341529,0.08642936796010235,0.6336156166757129,0.6975021281328929,6,49976,0.3631173196423173,0.32421547544457807,1,-1,-1,-1,1,-1,1
0.15110564324870138,0.14903541080084168,0,5000,0.08636521067514315,0.08696199138786088,0.5989342216587311,0.6552992053444483,5,30960,0.370278764163709,0.3365406227335252,1,-1,-1,-1,1,-1,1
0.15033292985812166,0.1479044137497701,0,5000,0.0870250588794983,0.08742312708472334,0.6045628369362414,0.6525088463067651,5,31793,0.370171429317196,0.3382392564159618,1,-1,-1,-1,1,-1,1
0.14764788050913286,0.1509782828184863,0,5000,0.08730392785022224,0.08673424634511995,0.310331964141633,0.5736221550910444,7,39705,0.320310247367188,0.37727089300124517,-1,1,-1,-1,1,1,-1
0.1513780990068142,0.151167980579486,0,5000,0.08695981434142379,0.08717952415519845,0.31749454919699927,0.588722525597468,7,41795,0.3219413311225298,0.37711286734214805,-1,1,-1,-1,1,1,-1
0.14892570600490856,0.14951875786897648,0,5000,0.08602611230919127,0.0864963340990675,0.3190321243888379,0.5928966272011755,7,41494,0.32327968332063184,0.37524468979096026,-1,1,-1,-1,1,1,-1
0.14944793400327638,0.14902030781352846,0,5000,0.08653432250978729,0.08710449407918723,0.3114603744710889,0.5969005319749143,7,42865,0.3181353197199557,0.375012898819906,-1,1,-1,-1,1,1,-1
0.14942081448147504,0.15176307285575955,0,5000,0.08688668343040727,0.08646783138293801,0.3018922555005688,0.5818958338946029,7,40633,0.31799560621217154,0.377688312911506,-1,1,-1,-1,1,1,-1
0.15403902419456064,0.14901555475657693,0,5000,0.08625280053712496,0.08635232517041809,0.32068797305866337,0.5872001321025996,7,40656,0.32206371359616554,0.37516696647723,-1,1,-1,-1,1,1,-1
0.14838024257318475,0.1496824440195077,0,5000,0.08630953511299588,0.08678227278266357,0.31894144654363465,0.5922147118255586,7,41772,0.3247409096968969,0.37654139372306455,-1,1,-1,-1,1,1,-1
0.1481104071322804,0.14991100175437586,0,5000,0.08621020083729154,0.0867435934005362,0.31376679910042105,0.5879881985028824,7,41029,0.31967803020262164,0.37676945117273913,-1,1,-1,-1,1,1,-1
0.15105881830781653,0.15087650348636547,0,5000,0.08690727884563909,0.08717911175889728,0.3123766317385112,0.5937865017610783,7,43041,0.31948510652721496,0.3759896295265187,-1,1,-1,-1,1,1,-1
0.1509276327022939,0.1509693298773299,0,5000,0.08707941167785876,0.08615055566287044,0.3250222357458453,0.5911369927817931,7,40976,0.3284639538000605,0.3759906774814437,-1,1,-1,-1,1,1,-1
0.15023619089588056,0.152504881151591,0,5000,0.0870806737981983,0.08718699664407452,0.4243997972681219,0.36033784272988484,2,39605,0.41432455405994456,0.39146069299871045,1,1,-1,-1,-1,1,1
0.14998359082393733,0.1505594093763896,0,5000,0.08620779853750998,0.08640459204593895,0.42072348793007275,0.3565386735877069,2,39795,0.41208038464849367,0.39048897987159903,1,1,-1,-1,-1,1,1
0.15004420628671838,0.15006083955551427,0,5000,0.086965607937326,0.08598032659033748,0.41928531773713146,0.35946848054087144,2,39606,0.41199739020169496,0.39080113047834536,1,1,-1,-1,-1,1,1
0.15031821365511788,0.1505878391744728,0,5000,0.08608028479982331,0.08576499057971475,0.4258548961423076,0.3546472420204254,2,39952,0.4133694642922309,0.39085929900680616,1,1,-1,-1,-1,1,1
0.14987244567242747,0.14918683820568712,0,5000,0.0871292871743393,0.08692436233717268,0.4223893983825008,0.3528471023967431,2,39981,0.41205186673575844,0.3893453589430537,1,1,-1,-1,-1,1,1
0.150747831077779,0.15003132203773822,0,5000,0.08678353652341399,0.08595676984174531,0.41925140057628707,0.35933064878907484,2,39649,0.4106966000921405,0.3914629349378993,1,1,-1,-1,-1,1,1
0.15050276762493003,0.1503284086267117,0,5000,0.0859363403703425,0.08671369270820821,0.4206837547180672,0.3574669883013437,2,39760,0.4120468500664595,0.39012412256041307,1,1,-1,-1,-1,1,1
